116,1983.42,31.94
117,2000.45,80.89
118,2024.67,55.88
119,2024.67,40.71
120,2024.67,53.32
121,2024.67,37.98
122,2024.67,68.5
123,2023.12,130.1
124,2023.12,31.8
125,2022.11,34.97
126,2015.99,39.55
127,2012.82,25.75
128,1999.8,112.35
129,1997.8,85.08
130,1995.8,69.87
131,1995.8,76.94
132,1987.79,71.55
133,1987.73,89.76
134,1987.73,75.67
135,1987.73,81.41
136,2003.79,63.86
137,2002.61,30.39
138,2003.61,39.52
139,2006.53,36.51
140,2003.48,56.32
141,2042.07,79.31
142,2042.07,73.98
143,2042.07,61.45
144,2042.07,54.31
145,2042.07,62.37
146,2042.07,114.84
147,2042.07,42.67
148,2039.82,25.8
149,2027.09,19.66
150,2022.51,24.32
151,2017.98,51.73
152,2009.77,38.16
153,2003.79,39.59
154,2004.66,41.11
155,2013.4,46.67
156,2013.4,45.76
157,2014.38,42.02
158,2014.48,34.75
159,2014.48,33.63
160,2026.62,79.24
161,2049.7,97.58
162,2053.34,115.53
163,2066.67,62.36
164,2067.01,56.48
165,2071.04,120.54
166,2070.17,74.55
167,2071.82,59.56
168,2072.82,28.95
169,2074.01,50.23
170,2073.32,25.89
171,2073.32,44.24
172,2073.33,48.88
173,2073.33,45.77
174,2073.33,22.86
175,2073.33,73
176,2073.33,44
177,2073.38,45.54
178,2073.38,115.91
179,2073.63,112.76
180,2073.63,69.99
181,2073.63,76.01
182,2044.6,76.35
183,2044.04,85.12
184,2044.04,78.98
185,2044.04,117.89
186,2044.04,96.05
187,2060.67,96.38
188,2062.66,30.37
189,2062.66,37.92
190,2063.66,44.08
191,2065.1,50.17
192,2103.86,108.35
193,2103.86,48.78
194,2103.86,120.53
195,2102.12,90.96
196,2102.12,31.74
197,2096.74,40.65
198,2090.61,32.1
199,2088.61,85.15
200,2078.6,110.17
201,2071.6,77.46
202,2071.6,62.65
203,2071.47,68.53
204,2071.35,80.49
205,2070.35,88.27
206,2070.35,86.86
207,2070.73,79.36
208,2085.81,80.99
209,2086.39,30.51
210,2085.39,45.66
211,2086.39,61.13
212,2127.63,80.47
213,2127.63,134.41
214,2127.63,36.39
215,2127.63,44.18
216,2122.07,36.58
217,2116,36.36
218,2109,47.38
219,2098.99,31.98
220,2092.67,117.17
221,2092.67,97.43
222,2092.67,59.57
223,2092.67,70.26
224,2088.54,61
225,2088.54,89.82
226,2088.41,59.41
227,2104.24,82.33
228,2104.24,30.27
229,2104.24,41.1
230,2105.24,65.49
231,2104.33,51.89
232,2143.26,106.78
233,2143.26,38.19
234,2143.26,38.09
235,2143.26,44.19
236,2143.26,74.59
237,2143.26,102.08
238,2143.26,114.62
239,2143.26,29.04
240,2142.02,42.76
241,2136.27,35.05
242,2132.58,28.68
243,2126.58,41.15
244,2122.89,29.02
245,2115.89,25.77
246,2114.32,27.39
247,2114.32,47.14
248,2114.32,45.75
249,2116.07,53.42
250,2116.07,43.8
251,2116.07,46.9
252,2116.07,27.31
253,2116.07,50.28
254,2118.95,131.96
255,2118.95,75.96
256,2118.95,94.02
257,2118.95,110.73
258,2114.2,114.63
259,2113.57,85.12
260,2113.57,103.16
261,2129.95,88
262,2130.54,30.4
263,2130.54,27.43
264,2131.54,53.3
265,2133.34,44.32
266,2171.4,103.8
267,2170.39,38.16
268,2170.39,42.73
269,2170.39,102.41
270,2170.39,61.07
271,2170.39,32
272,2170.39,41.09
273,2162.2,50.45
274,2157.2,89.45
275,2146.19,107.41
276,2142.19,70.26
277,2142.19,71.66
278,2141.19,70.17
279,2132.56,69.96
280,2132.56,65.49
281,2132.56,77.72
282,2132.56,71.54
283,2150.71,93.11
284,2150.71,24.45
285,2150.71,38.16
286,2149.98,68.81
287,2151.06,48.91
288,2189.62,99.18
289,2189.62,65.08
290,2188.03,57.73
291,2188.03,53.3
292,2188.03,118.95
293,2188.03,56.42
294,2188.03,22.89
295,2188.03,24.17
296,2182.96,42.6
297,2174.59,56.23
298,2160.7,48.82
299,2158.7,36.67
300,2161.71,48.81
301,2161.71,33.64
302,2161.71,25.85
303,2161.71,35
304,2161.71,41.16
305,2161.71,27.26
306,2195.76,117.11
307,2200.51,132.08
308,2200.51,72.42
309,2200.51,18.2
310,2200.51,10.67
311,2196.51,21.33
312,2189.5,35.05
313,2178.49,19.75
314,2157.73,12.16
315,2157.96,28.77
316,2158.12,32.05
317,2158.12,19.72
318,2158.24,22.87
319,2158.55,18.32
320,2158.55,16.8
321,2158.55,29.01
322,2158.55,24.21
323,2158.55,12.2
